XNR_genes	GO_terms	SSHG_genes
XNR_2577	GO:0003824; GO:0030151; GO:0030170	SSHG_03355
XNR_2240	GO:0008080	SSHG_03681
XNR_4039	GO:0003700; GO:0006352	SSHG_01895
XNR_1101	GO:0033961	SSHG_04824
XNR_3955	GO:0016491; GO:0050661	SSHG_01979
XNR_1457	GO:0004553; GO:0005975; GO:0008061; GO:0030247	SSHG_04469
XNR_4982	GO:0016853	SSHG_00963
XNR_2852	GO:0000160; GO:0003677; GO:0006355	SSHG_03094
XNR_1393	GO:0004252	SSHG_04535
XNR_0495	GO:0003700; GO:0043565	SSHG_05428
XNR_2473	GO:0003677	SSHG_03450
XNR_2024	GO:0003677	SSHG_03907
XNR_3572	GO:0015293; GO:0015810; GO:0015813; GO:0016021	SSHG_02356
XNR_1846	GO:0003677; GO:0003678; GO:0005524	SSHG_04084
XNR_5869	GO:0003677; GO:0006355	SSHG_00080
XNR_3082	GO:0016491	SSHG_02862
XNR_5578	GO:0016787	SSHG_00369
XNR_0665	GO:0016491	SSHG_05259
XNR_3134	GO:0016021	SSHG_02808
XNR_3645	GO:0004334; GO:0009072	SSHG_02285
XNR_0983	GO:0003824; GO:0031177	SSHG_04945
XNR_0569	GO:0016491	SSHG_05358
XNR_1094	GO:0008703; GO:0009231	SSHG_04832
XNR_1173	GO:0016491	SSHG_04745
XNR_2270	GO:0003677	SSHG_03652
XNR_0825	GO:0004497; GO:0016705	SSHG_05100
XNR_0008	GO:0003857; GO:0005737; GO:0006631; GO:0042413; GO:0047728; GO:0051287	SSHG_00008
XNR_5931	GO:0003857; GO:0005737; GO:0006631; GO:0042413; GO:0047728; GO:0051287	SSHG_00008
XNR_3561	GO:0016021; GO:0017004; GO:0020037	SSHG_02367
XNR_0668	GO:0000287; GO:0003824; GO:0030976	SSHG_05256
XNR_0757	GO:0008233	SSHG_05169
XNR_0468	GO:0016491	SSHG_05455
XNR_3818	GO:0016614; GO:0050660	SSHG_02113
XNR_0098	GO:0016021	SSHG_05820
XNR_2078	GO:0008108; GO:0008270; GO:0033499	SSHG_03855
XNR_4519	GO:0016021; GO:0016746	SSHG_01420
XNR_3537	GO:0003677; GO:0016021	SSHG_02393
XNR_1325	GO:0003824	SSHG_04605
XNR_4585	GO:0016829	SSHG_01353
XNR_5594	GO:0005524; GO:0009058; GO:0016874	SSHG_00353
XNR_5511	GO:0003746; GO:0003924; GO:0005525; GO:0005737	SSHG_00437
XNR_4107	GO:0004497; GO:0071949	SSHG_01831
XNR_3681	GO:0005506; GO:0005886; GO:0048038; GO:0050136; GO:0051539	SSHG_02248
XNR_0119	GO:0004351; GO:0006536; GO:0030170	SSHG_05799
XNR_2424	GO:0005524; GO:0016887	SSHG_03498
XNR_1046	GO:0008703; GO:0009231	SSHG_04881
XNR_0961	GO:0016810	SSHG_04967
XNR_3919	GO:0005886; GO:0016021	SSHG_02015
XNR_5494	GO:0043190; GO:0055085	SSHG_00453
XNR_1840	GO:0008643	SSHG_04090
XNR_1481	GO:0004814; GO:0005524; GO:0005737; GO:0006420	SSHG_04441
XNR_2827	GO:0003676; GO:0004386; GO:0005524	SSHG_03114
XNR_0701	GO:0003700; GO:0043565	SSHG_05222
XNR_0685	GO:0003677; GO:0006355	SSHG_05238
XNR_1879	GO:0004352; GO:0019551	SSHG_04049
XNR_5405	GO:0008270; GO:0008703; GO:0008835; GO:0009231; GO:0050661	SSHG_00549
XNR_3703	GO:0008483; GO:0009058; GO:0030170	SSHG_02228
XNR_5738	GO:0000287; GO:0016787; GO:0016835; GO:0017001; GO:0046677	SSHG_00215
XNR_5466	GO:0004375; GO:0019464	SSHG_00481
XNR_2513	GO:0008483; GO:0009058; GO:0030170	SSHG_03412
XNR_4024	GO:0016874	SSHG_01911
XNR_0901	GO:0005886; GO:0016021; GO:0022857	SSHG_05029
XNR_2780	GO:0000160; GO:0003677; GO:0006355	SSHG_03159
XNR_1577	GO:0004748; GO:0005524; GO:0006260	SSHG_04346
XNR_3232	GO:0004252	SSHG_02705
XNR_4628	GO:0016021	SSHG_01310
XNR_1314	GO:0008080	SSHG_04617
XNR_3915	GO:0003677; GO:0003700; GO:0008233	SSHG_02020
XNR_3509	GO:0008168	SSHG_02425
XNR_3518	GO:0016021	SSHG_02412
XNR_4958	GO:0010181; GO:0016491	SSHG_00986
XNR_0609	GO:0016491	SSHG_05316
XNR_4433	GO:0005524; GO:0046872	SSHG_01502
XNR_3817	GO:0016620	SSHG_02114
XNR_4776	GO:0016021	SSHG_01161
XNR_4289	GO:0016021; GO:0055085	SSHG_01649
XNR_3471	GO:0006520; GO:0016829	SSHG_02465
XNR_3364	GO:0003677	SSHG_02572
XNR_1867	GO:0004735; GO:0006561	SSHG_04060
XNR_4550	GO:0016787	SSHG_01389
XNR_0827	GO:0009143; GO:0046872; GO:0047429	SSHG_05098
XNR_5852	GO:0008270; GO:0008745; GO:0009253	SSHG_00102
XNR_3024	GO:0016021	SSHG_02920
XNR_5518	GO:0016021	SSHG_00429
XNR_0095	GO:0008080	SSHG_05823
XNR_5070	GO:0003700	SSHG_00881
XNR_4218	GO:0008324; GO:0016021	SSHG_01720
XNR_2873	GO:0016021; GO:0016491	SSHG_03072
XNR_4032	GO:0005886; GO:0016021	SSHG_01902
XNR_0356	GO:0000287; GO:0003824; GO:0030976	SSHG_05565
XNR_3025	GO:0003676; GO:0005737	SSHG_02919
XNR_3825	GO:0016787	SSHG_02106
XNR_0290	GO:0005524; GO:0016887	SSHG_05636
XNR_2989	GO:0016021	SSHG_02955
XNR_5812	GO:0022857; GO:0043190	SSHG_00141
XNR_4128	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872	SSHG_01810
XNR_1993	GO:0005524; GO:0016887	SSHG_03940
XNR_0141	GO:0004345; GO:0006006; GO:0006098; GO:0050661	SSHG_05777
XNR_2165	GO:0009055; GO:0010124; GO:0046872; GO:0051537	SSHG_03770
XNR_2191	GO:0003677; GO:0004803; GO:0006313	SSHG_03732
XNR_3224	GO:0008080	SSHG_02712
XNR_2982	GO:0016021; GO:0016758	SSHG_02962
XNR_5095	GO:0008080	SSHG_00854
XNR_2389	GO:0008080	SSHG_03534
XNR_2358	GO:0003677; GO:0006355	SSHG_03563
XNR_5282	GO:0006629; GO:0008081	SSHG_00666
XNR_1873	GO:0016020; GO:0047355	SSHG_04054
XNR_0460	GO:0016627; GO:0050660	SSHG_05464
XNR_3332	GO:0016021	SSHG_02605
XNR_3115	GO:0005887; GO:0022857	SSHG_02828
XNR_5242	GO:0016021	SSHG_00705
XNR_3351	GO:0005524; GO:0016887; GO:0043215; GO:1900753	SSHG_02585
XNR_4167	GO:0008483; GO:0009058; GO:0030170	SSHG_01770
XNR_1124	GO:0006231; GO:0006235; GO:0050660; GO:0050797	SSHG_04794
XNR_0515	GO:0003824	SSHG_05409
XNR_2971	GO:0015074; GO:0032196	SSHG_02974
XNR_4701	GO:0016746	SSHG_01238
XNR_1128	GO:0005737; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0050661; GO:0051287	SSHG_04790
XNR_5849	GO:0016702; GO:0046872	SSHG_00105
XNR_1065	GO:0019290	SSHG_04861
XNR_4699	GO:0004739; GO:0046872	SSHG_01240
XNR_1188	GO:0005524; GO:0016887	SSHG_04731
XNR_1332	GO:0016021	SSHG_04598
XNR_5761	GO:0005524; GO:0005975; GO:0017168	SSHG_00192
XNR_4570	GO:0008410	SSHG_01368
XNR_3363	GO:0016021	SSHG_02573
XNR_3916	GO:0004222; GO:0005576; GO:0008270	SSHG_02019
XNR_0158	GO:0003824	SSHG_05759
XNR_3966	GO:0016021	SSHG_01968
XNR_0156	GO:0005887; GO:0055085	SSHG_05761
XNR_1794	GO:0008233	SSHG_04134
XNR_3809	GO:0006072; GO:0009331; GO:0052591	SSHG_02126
XNR_2871	GO:0005886; GO:0016021	SSHG_03074
XNR_2008	GO:0004497; GO:0005506; GO:0016705; GO:0020037	SSHG_03925
XNR_0604	GO:0003824	SSHG_05321
XNR_2146	GO:0005887; GO:0022857	SSHG_03788
XNR_2412	GO:0016021; GO:0030246	SSHG_03511
XNR_1359	GO:0004047; GO:0008483; GO:0019464	SSHG_04570
XNR_3985	GO:0005887; GO:0055085	SSHG_01949
XNR_5777	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_00176
XNR_0686	GO:0016829; GO:0018298	SSHG_05237
XNR_2753	GO:0016491	SSHG_03182
XNR_2241	GO:0004499; GO:0050660; GO:0050661	SSHG_03680
XNR_0335	GO:0003860	SSHG_05588
XNR_0481	GO:0046854	SSHG_05442
XNR_5186	GO:0005887; GO:0055085	SSHG_00761
XNR_5676	GO:0005623; GO:0009055; GO:0045454; GO:0050660	SSHG_00274
XNR_1318	GO:0004617; GO:0006564; GO:0051287	SSHG_04613
XNR_0474	GO:0003700; GO:0006284; GO:0008168; GO:0008270; GO:0043565	SSHG_05449
XNR_1098	GO:0016021	SSHG_04828
XNR_5265	GO:0003942; GO:0005737; GO:0006526; GO:0046983; GO:0051287	SSHG_00684
XNR_0155	GO:0003677	SSHG_05762
XNR_4627	GO:0005507; GO:0016491	SSHG_01311
XNR_2219	GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0009986	SSHG_03702
XNR_4698	GO:0051213	SSHG_01241
XNR_1926	GO:0009058; GO:0016779	SSHG_04005
XNR_5139	GO:0016491	SSHG_00807
XNR_2143	GO:0008080	SSHG_03791
XNR_3591	GO:0016021	SSHG_02337
XNR_3577	GO:0016021	SSHG_02350
XNR_0412	GO:0008940; GO:0009055; GO:0009325; GO:0042126; GO:0043546; GO:0046872; GO:0051539	SSHG_05512
XNR_0048	GO:0008168	SSHG_05868
XNR_2408	GO:0003677; GO:0006355	SSHG_03515
XNR_4313	GO:0006865; GO:0016021; GO:0022857	SSHG_01621
XNR_4066	GO:0004252; GO:0004553; GO:0005576; GO:0005975; GO:0030246	SSHG_01867
XNR_5073	GO:0004584; GO:0006506; GO:0016021	SSHG_00878
XNR_4198	GO:0016021	SSHG_01740
XNR_4011	GO:0000287; GO:0005975; GO:0016868	SSHG_01923
XNR_3189	GO:0008483; GO:0009058; GO:0030170	SSHG_02749
XNR_2516	GO:0016021	SSHG_03409
XNR_3142	GO:0005524; GO:0016887; GO:0043215; GO:1900753	SSHG_02800
XNR_2953	GO:0008080	SSHG_02993
XNR_5554	GO:0008080	SSHG_00394
XNR_4913	GO:0016021	SSHG_01029
XNR_3545	GO:0006396; GO:0008452	SSHG_02384
XNR_2515	GO:0019491; GO:0030170; GO:0045303; GO:0047307	SSHG_03410
XNR_4132	GO:0004333; GO:0006099; GO:0006106; GO:0045239	SSHG_01806
XNR_3073	GO:0046872	SSHG_02871
XNR_5296	GO:0003723; GO:0006396; GO:0008173	SSHG_00651
XNR_2186	GO:0003677; GO:0003700	SSHG_03747
XNR_0060	GO:0008360; GO:0008881; GO:0009252; GO:0071555	SSHG_05856
XNR_2238	GO:0004733; GO:0008615; GO:0010181	SSHG_03683
XNR_5193	GO:0016021	SSHG_00754
XNR_1092	GO:0003677; GO:0003700	SSHG_04834
XNR_5451	GO:0009401; GO:0016301	SSHG_00499
XNR_0996	GO:0016021	SSHG_04933
XNR_4394	GO:0016758; GO:0016999	SSHG_01541
XNR_1810	GO:0016740	SSHG_04119
XNR_0518	GO:0005524; GO:0016021; GO:0016887; GO:0042626	SSHG_05406
XNR_3313	GO:0005524; GO:0008741; GO:0019569	SSHG_02625
XNR_3541	GO:0016021	SSHG_02389
XNR_2692	GO:0016021	SSHG_03243
XNR_0425	GO:0006541; GO:0008233; GO:0016740	SSHG_05499
XNR_1209	GO:0008236; GO:0016021	SSHG_04709
XNR_2665	GO:0000155; GO:0016021; GO:0046983	SSHG_03269
XNR_4460	GO:0005887; GO:0055085	SSHG_01477
XNR_0822	GO:0016787	SSHG_05103
XNR_2806	GO:0003824	SSHG_03133
XNR_3583	GO:0003824	SSHG_02344
XNR_3676	GO:0000155; GO:0016021; GO:0046983	SSHG_02253
XNR_5654	GO:0005975; GO:0016810	SSHG_00292
XNR_2319	GO:0004497; GO:0005506; GO:0016705; GO:0020037	SSHG_03601
XNR_2721	GO:0005886; GO:0006885; GO:0015081; GO:0015297; GO:0016021	SSHG_03212
XNR_4819	GO:0016021	SSHG_01118
XNR_2294	GO:0003677; GO:0045892	SSHG_03625
XNR_2767	GO:0008483; GO:0030170	SSHG_03173
XNR_1777	GO:0000166; GO:0009117; GO:0009146; GO:0017111; GO:0046872; GO:0047429	SSHG_04152
XNR_5732	GO:0005524	SSHG_00221
XNR_2910	GO:0016853	SSHG_03036
XNR_0586	GO:0008483	SSHG_05341
XNR_2160	GO:0003857; GO:0006631; GO:0070403	SSHG_03775
XNR_1638	GO:0016787	SSHG_04286
XNR_2779	GO:0000155; GO:0016021; GO:0046983	SSHG_03160
XNR_5555	GO:0005524; GO:0016887	SSHG_00393
XNR_2487	GO:0005887; GO:0015103	SSHG_03438
XNR_4187	GO:0019290	SSHG_01751
XNR_2834	GO:0003676; GO:0003724; GO:0005524	SSHG_03110
XNR_0026	GO:0003677; GO:0003700	SSHG_05888
XNR_5158	GO:0016705	SSHG_00789
XNR_5530	GO:0003700; GO:0043565	SSHG_00417
XNR_2986	GO:0005887; GO:0055085	SSHG_02958
XNR_3120	GO:0016787	SSHG_02823
XNR_2864	GO:0005524; GO:0016887	SSHG_03082
XNR_3064	GO:0004672; GO:0005524; GO:0016021	SSHG_02880
XNR_0598	GO:0006541; GO:0009058	SSHG_05327
XNR_2073	GO:0005737; GO:0030798	SSHG_03860
XNR_5740	GO:0007155; GO:0030001; GO:0046872	SSHG_00213
XNR_0753	GO:0003677	SSHG_05173
XNR_0204	GO:0009058; GO:0016740; GO:0016788; GO:0031177	SSHG_05713
XNR_2262	GO:0003677	SSHG_03660
XNR_4899	GO:0016301	SSHG_01044
XNR_0966	GO:0005524; GO:0016887	SSHG_04962
XNR_0754	GO:0005975; GO:0016810	SSHG_05172
XNR_2619	GO:0005737; GO:0016153; GO:0019556; GO:0019557	SSHG_03316
XNR_4934	GO:0043190; GO:0055085	SSHG_01007
XNR_0853	GO:0005886; GO:0016021; GO:0022857	SSHG_05075
XNR_4109	GO:0016491	SSHG_01829
XNR_0516	GO:0003824	SSHG_05408
XNR_0510	GO:0008080	SSHG_05414
XNR_1398	GO:0016021	SSHG_04530
XNR_0798	GO:0005886; GO:0016021; GO:0022857	SSHG_05126
XNR_4596	GO:0016874	SSHG_01342
XNR_4920	GO:0004618; GO:0005524; GO:0005737; GO:0006096	SSHG_01022
XNR_2312	GO:0016021	SSHG_03608
XNR_3523	GO:0003824; GO:0050662	SSHG_02407
XNR_3360	GO:0008168	SSHG_02576
XNR_0933	GO:0016021	SSHG_04997
XNR_3820	GO:0046417	SSHG_02111
XNR_5512	GO:0003700	SSHG_00436
XNR_5735	GO:0003997; GO:0005777; GO:0006635; GO:0071949	SSHG_00218
XNR_0476	GO:0015293; GO:0016021	SSHG_05447
XNR_2471	GO:0016021	SSHG_03452
XNR_3838	GO:0016787	SSHG_02093
XNR_0019	GO:0008483; GO:0009058; GO:0030170; GO:0031177	SSHG_00020
XNR_5920	GO:0008483; GO:0009058; GO:0030170; GO:0031177	SSHG_00020
XNR_4578	GO:0005524; GO:0016887	SSHG_01360
XNR_3051	GO:0003723; GO:0006396; GO:0008173	SSHG_02893
XNR_2931	GO:0016787	SSHG_03015
XNR_3569	GO:0005506; GO:0009234; GO:0051539; GO:0102573	SSHG_02359
XNR_1744	GO:0016021; GO:0016757	SSHG_04185
XNR_0385	GO:0016853	SSHG_05539
XNR_1893	GO:0005886	SSHG_04036
XNR_0615	GO:0003677; GO:0003700; GO:0006352; GO:0016987	SSHG_05310
XNR_5595	GO:0006412; GO:0042586; GO:0046872	SSHG_00352
XNR_2771	GO:0005524; GO:0046872	SSHG_03168
XNR_5756	GO:0016021	SSHG_00198
XNR_2169	GO:0015105; GO:0016021	SSHG_03766
XNR_3125	GO:0016301	SSHG_02818
XNR_0051	GO:0016021	SSHG_05865
XNR_0399	GO:0005737; GO:0006777; GO:0016783; GO:0097163	SSHG_05525
XNR_0401	GO:0003677; GO:0003700	SSHG_05523
XNR_2482	GO:0003700; GO:0043565	SSHG_03443
XNR_4771	GO:0016491; GO:0050660	SSHG_01166
XNR_1876	GO:0008168	SSHG_04051
XNR_4211	GO:0005524; GO:0046872	SSHG_01729
XNR_4647	GO:0003824; GO:0005975	SSHG_01291
XNR_0894	GO:0016772	SSHG_05036
XNR_1366	GO:0005524; GO:0005887; GO:0008556	SSHG_04562
XNR_2410	GO:0005524; GO:0005975; GO:0016301; GO:0016773	SSHG_03513
XNR_3970	GO:0016787	SSHG_01964
XNR_2190	GO:0003677; GO:0003700	SSHG_03735
XNR_4760	GO:0000160; GO:0003677; GO:0006355	SSHG_01177
XNR_3309	GO:0008080; GO:0010125; GO:0035447	SSHG_02629
XNR_0200	GO:0004497; GO:0005506; GO:0016705; GO:0020037	SSHG_05717
XNR_0205	GO:0005506; GO:0008610; GO:0016021; GO:0016491	SSHG_05712
XNR_1458	GO:0004553; GO:0005975; GO:0008061; GO:0030247	SSHG_04468
XNR_0145	GO:0004474; GO:0006097	SSHG_05772
XNR_4667	GO:0009236; GO:0051116	SSHG_01271
XNR_3084	GO:0016627; GO:0050660	SSHG_02860
XNR_2856	GO:0016021	SSHG_03090
XNR_5445	GO:0016787	SSHG_00505
XNR_0442	GO:0008237; GO:0046872	SSHG_05482
XNR_2722	GO:0016021	SSHG_03211
XNR_4287	GO:0004553; GO:0005975; GO:0016616	SSHG_01651
XNR_5691	GO:0016491	SSHG_00260
XNR_4157	GO:0005524; GO:0046872	SSHG_01779
XNR_2440	GO:0016021	SSHG_03481
XNR_2794	GO:0016787	SSHG_03145
XNR_2370	GO:0016021	SSHG_03552
XNR_2276	GO:0046872	SSHG_03644
XNR_3765	GO:0003824; GO:0030151; GO:0030170	SSHG_02170
XNR_3030	GO:0004252; GO:0016021	SSHG_02914
XNR_1341	GO:0016491	SSHG_04589
XNR_5248	GO:0003677	SSHG_00701
XNR_2934	GO:0005524; GO:0005623; GO:0016021; GO:0016887; GO:0034775; GO:0042626; GO:0042883; GO:0045454	SSHG_03012
XNR_4214	GO:0003995; GO:0050660	SSHG_01726
XNR_4247	GO:0016021	SSHG_01692
XNR_4676	GO:0008976	SSHG_01262
XNR_1524	GO:0007165; GO:0043531	SSHG_04399
XNR_5763	GO:0016787	SSHG_00190
XNR_4271	GO:0003677; GO:0005524; GO:0016887	SSHG_01669
XNR_1838	GO:0005886; GO:0008643; GO:0016021; GO:0055085	SSHG_04092
XNR_1561	GO:0008270	SSHG_04363
XNR_5890	GO:0009058; GO:0016740; GO:0016788	SSHG_00058
XNR_4015	GO:0003677; GO:0003700	SSHG_01919
XNR_4232	GO:0005524; GO:0005886; GO:0016021; GO:0019829; GO:0030001; GO:0046872	SSHG_01706
XNR_4448	GO:0016614	SSHG_01487
XNR_2889	GO:0005887; GO:0055085	SSHG_03058
XNR_3549	GO:0008080	SSHG_02380
XNR_5895	GO:0016705; GO:0016740; GO:0031177	SSHG_00052
XNR_5707	GO:0005887; GO:0055085	SSHG_00243
XNR_0529	GO:0016021	SSHG_05395
XNR_1479	GO:0004412; GO:0009086; GO:0009088; GO:0009097; GO:0050661	SSHG_04443
XNR_4823	GO:0016021	SSHG_01114
XNR_1228	GO:0016021; GO:0022857	SSHG_04692
XNR_0621	GO:0005623; GO:0009055; GO:0015035; GO:0016021; GO:0045454	SSHG_05304
XNR_4058	GO:0003824	SSHG_01875
XNR_3576	GO:0016021	SSHG_02352
XNR_2116	GO:0016787	SSHG_03816
XNR_4374	GO:0003677; GO:0003887; GO:0006260; GO:0009360	SSHG_01561
XNR_2446	GO:0003824; GO:0050662	SSHG_03475
XNR_4562	GO:0003824; GO:0016021	SSHG_01376
XNR_3954	GO:0005887; GO:0055085	SSHG_01980
XNR_2472	GO:0016021	SSHG_03451
XNR_0149	GO:0005737; GO:0006099; GO:0046912	SSHG_05768
XNR_2549	GO:0003677	SSHG_03380
XNR_4226	GO:0051213	SSHG_01712
XNR_0223	GO:0016021	SSHG_05694
XNR_1079	GO:0016021	SSHG_04847
XNR_0415	GO:0008940; GO:0009325; GO:0016021	SSHG_05509
XNR_5751	GO:0000160; GO:0003677; GO:0003700; GO:0005737	SSHG_00203
XNR_1605	GO:0016787	SSHG_04320
XNR_0159	GO:0004553; GO:0005975	SSHG_05758
XNR_0565	GO:0000256; GO:0004038; GO:0008270; GO:0050897	SSHG_05360
XNR_1762	GO:0005887; GO:0055085	SSHG_04166
XNR_3350	GO:0043190; GO:0055085	SSHG_02586
XNR_2851	GO:0000155; GO:0016021; GO:0046983	SSHG_03095
XNR_0152	GO:0003860	SSHG_05765
XNR_0455	GO:0003677	SSHG_05469
XNR_0746	GO:0008703; GO:0009231	SSHG_05180
XNR_4762	GO:0006541; GO:0009058	SSHG_01175
XNR_4228	GO:0004177	SSHG_01710
XNR_2800	GO:0016021	SSHG_03139
XNR_2193	GO:0003677; GO:0004803; GO:0006313	SSHG_03729
XNR_2612	GO:0005886; GO:0016021; GO:0022857	SSHG_03323
XNR_2708	GO:0016021	SSHG_03226
XNR_0592	GO:0016021; GO:0016747	SSHG_05334
XNR_2297	GO:0016491; GO:0048037	SSHG_03622
XNR_3525	GO:0008080	SSHG_02405
XNR_5644	GO:0003684; GO:0006284; GO:0006289; GO:0008270; GO:0016799; GO:0140078	SSHG_00303
XNR_1191	GO:0046872	SSHG_04728
XNR_0715	GO:0003924; GO:0004781; GO:0005524; GO:0005525; GO:0070814	SSHG_05208
XNR_4639	GO:0016021; GO:0022857	SSHG_01299
XNR_2094	GO:0016787	SSHG_03837
XNR_3668	GO:0005524; GO:0016887	SSHG_02262
XNR_0558	GO:0016491	SSHG_05367
XNR_4747	GO:0016021; GO:0016758	SSHG_01190
XNR_2278	GO:0046872	SSHG_03642
XNR_5237	GO:0003824; GO:0016021	SSHG_00710
XNR_5807	GO:0048037	SSHG_00146
XNR_1558	GO:0008745; GO:0009253	SSHG_04366
XNR_4759	GO:0000155; GO:0016021; GO:0046983	SSHG_01178
XNR_2647	GO:0003824	SSHG_03288
XNR_1874	GO:0016020; GO:0047355	SSHG_04053
XNR_1679	GO:0005886; GO:0016021; GO:0022857	SSHG_04244
XNR_0360	GO:0016787	SSHG_05561
XNR_1688	GO:0004252	SSHG_04236
XNR_1409	GO:0000287; GO:0005524; GO:0005737; GO:0006082; GO:0006085; GO:0008776	SSHG_04519
XNR_4108	GO:0005887; GO:0055085	SSHG_01830
XNR_5396	GO:0016491	SSHG_00558
XNR_2701	GO:0003677; GO:0003917; GO:0006265; GO:0046872	SSHG_03235
XNR_4038	GO:0016021	SSHG_01896
XNR_0249	GO:0016787	SSHG_05672
XNR_4435	GO:0008483	SSHG_01500
XNR_1603	GO:0003824; GO:0016021; GO:0050662	SSHG_04322
XNR_2579	GO:0003677; GO:0016853	SSHG_03353
XNR_5524	GO:0048037	SSHG_00423
XNR_4752	GO:0005524; GO:0016887	SSHG_01185
XNR_1089	GO:0005737; GO:0006282	SSHG_04837
XNR_0437	GO:0002161; GO:0006412	SSHG_05487
XNR_0864	GO:0004040	SSHG_05065
XNR_2919	GO:0005507; GO:0006825; GO:0016021; GO:0042597; GO:0046688	SSHG_03026
XNR_5171	GO:0008270; GO:0008705; GO:0031419; GO:0042558	SSHG_00776
XNR_2124	GO:0016021	SSHG_03810
XNR_0680	GO:0003824	SSHG_05244
XNR_2427	GO:0016021	SSHG_03495
XNR_0464	GO:0005524; GO:0016887	SSHG_05460
XNR_3076	GO:0003677	SSHG_02868
XNR_4720	GO:0016021	SSHG_01219
XNR_0641	GO:0000287; GO:0009028; GO:0009436; GO:0016874; GO:0030976	SSHG_05283
XNR_5135	GO:0016491	SSHG_00811
XNR_1240	GO:0003676; GO:0003678; GO:0005524; GO:0006281; GO:0006310	SSHG_04679
XNR_3317	GO:0005886; GO:0008643; GO:0016021; GO:0022857	SSHG_02620
XNR_4365	GO:0016021; GO:0016758	SSHG_01571
XNR_0458	GO:0016829; GO:0046872	SSHG_05466
XNR_2417	GO:0008080	SSHG_03506
XNR_1315	GO:0003677	SSHG_04616
XNR_4241	GO:0004491	SSHG_01698
XNR_1454	GO:0016021	SSHG_04472
XNR_1834	GO:0016491	SSHG_04097
XNR_3474	GO:0005737; GO:0008734; GO:0009435; GO:0044318	SSHG_02462
XNR_0173	GO:0016491; GO:0051536; GO:0071949	SSHG_05744
XNR_1618	GO:0016787	SSHG_04307
XNR_2271	GO:0003824	SSHG_03651
XNR_3563	GO:0016021	SSHG_02365
XNR_2220	GO:0016021; GO:0055085	SSHG_03701
XNR_0772	GO:0000287; GO:0008661; GO:0009228; GO:0016114; GO:0030976; GO:0052865	SSHG_05153
XNR_5814	GO:0004177	SSHG_00139
XNR_1013	GO:0004325; GO:0005737; GO:0006783; GO:0046872	SSHG_04917
XNR_1898	GO:0016021	SSHG_04031
XNR_5487	GO:0004040	SSHG_00460
XNR_3312	GO:0005737; GO:0008733; GO:0019569; GO:0030145	SSHG_02626
XNR_1166	GO:0016620	SSHG_04753
XNR_0593	GO:0008879; GO:0045226; GO:0046872	SSHG_05333
XNR_2598	GO:0009190; GO:0016849; GO:0035556	SSHG_03335
XNR_0631	GO:0015851; GO:0016021; GO:0022857	SSHG_05294
XNR_2632	GO:0051213	SSHG_03303
XNR_4230	GO:0003677; GO:0005524; GO:0043139	SSHG_01708
XNR_0999	GO:0000155; GO:0016020	SSHG_04930
XNR_1970	GO:0016813; GO:0046872	SSHG_03962
XNR_3684	GO:0008137; GO:0016021; GO:0042773	SSHG_02245
XNR_4452	GO:0010038	SSHG_01483
XNR_4257	GO:0003676; GO:0004519	SSHG_01682
XNR_1400	GO:0005524; GO:0016887	SSHG_04528
XNR_2571	GO:0000155; GO:0005524; GO:0016021	SSHG_03361
XNR_3316	GO:0005524; GO:0016887	SSHG_02621
XNR_3065	GO:0004674; GO:0005524; GO:0016021	SSHG_02879
XNR_5078	GO:0022857; GO:0043190; GO:0071705	SSHG_00873
XNR_4243	GO:0005524; GO:0008239; GO:0016887	SSHG_01696
XNR_1264	GO:0016787	SSHG_04662
XNR_5680	GO:0004601; GO:0020037	SSHG_00270
XNR_2511	GO:0008080	SSHG_03414
XNR_5395	GO:0006807; GO:0016787	SSHG_00559
XNR_0530	GO:0003677; GO:0006355	SSHG_05394
XNR_5702	GO:0008270	SSHG_00249
XNR_0226	GO:0008410	SSHG_05691
XNR_4915	GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432	SSHG_01027
XNR_0755	GO:0004045	SSHG_05171
XNR_2969	GO:0003700	SSHG_02976
XNR_0599	GO:0071949	SSHG_05326
XNR_0879	GO:0003677; GO:0046677	SSHG_05050
XNR_5598	GO:0008270; GO:0016491	SSHG_00349
XNR_2178	GO:0003677	SSHG_03755
XNR_4195	GO:0016491	SSHG_01743
XNR_0190	GO:0006629; GO:0016021; GO:0016491	SSHG_05727
XNR_1556	GO:0005344; GO:0008941; GO:0019825; GO:0020037; GO:0051409; GO:0071949	SSHG_04368
XNR_0594	GO:0008460; GO:0009225; GO:0016491	SSHG_05332
XNR_3279	GO:0005524; GO:0016301; GO:0016773; GO:0046677; GO:0046872	SSHG_02658
XNR_1278	GO:0016740; GO:0016874	SSHG_04648
XNR_0123	GO:0006777; GO:0032324; GO:0046872; GO:0061599	SSHG_05796
XNR_3796	GO:0003700	SSHG_02139
XNR_1620	GO:0003677; GO:0003678; GO:0004527; GO:0005524; GO:0006281	SSHG_04305
XNR_5813	GO:0005524; GO:0016020; GO:0016887; GO:0031460	SSHG_00140
