# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2074594	2075607	+							XNR_1755	1014		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2074594	2075607	+	AGI88138.1			SEC-C domain-containing protein			XNR_1755	1014	337	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2075693	2076922	-							XNR_1756	1230		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2075693	2076922	-	AGI88139.1			Cytosine-specific methyltransferase			XNR_1756	1230	409	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2077137	2078963	-							XNR_1757	1827		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2077137	2078963	-	AGI88140.1			Helicase domain-containing protein			XNR_1757	1827	608	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2078960	2080366	-							XNR_1758	1407		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2078960	2080366	-	AGI88141.1			Hypothetical protein			XNR_1758	1407	468	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2080449	2081126	-							XNR_1759	678		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2080449	2081126	-	AGI88142.1			Hypothetical protein			XNR_1759	678	225	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2081361	2082122	+							XNR_1760	762		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2081361	2082122	+	AGI88143.1			Hypothetical protein			XNR_1760	762	253	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2082243	2083211	-							XNR_1761	969		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2082243	2083211	-	AGI88144.1			AraC-family transcriptional regulator			XNR_1761	969	322	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2083419	2084720	+							XNR_1762	1302		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2083419	2084720	+	AGI88145.1			Permeases of the major facilitator superfamily			XNR_1762	1302	433	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2084888	2085274	+							XNR_1763	387		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2084888	2085274	+	AGI88146.1			Very-short-patch mismatch repair endonuclease (G-T specific)			XNR_1763	387	128	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2085304	2086713	-							XNR_1764	1410		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2085304	2086713	-	AGI88147.1			Integral membrane protein			XNR_1764	1410	469	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2087102	2088421	+							XNR_1765	1320		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2087102	2088421	+	AGI88148.1			Secreted protein			XNR_1765	1320	439	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2088438	2089109	-							XNR_1766	672		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2088438	2089109	-	AGI88149.1			DUF1707 domain containing protein			XNR_1766	672	223	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2089159	2090169	-							XNR_1767	1011		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2089159	2090169	-	AGI88150.1			ABC transporter, ATP-binding protein			XNR_1767	1011	336	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2090214	2091083	-							XNR_1768	870		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2090214	2091083	-	AGI88151.1			Integral membrane transporter			XNR_1768	870	289	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2091076	2091897	-							XNR_1769	822		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2091076	2091897	-	AGI88152.1			Integral membrane protein			XNR_1769	822	273	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2092120	2094450	+							XNR_1770	2331		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2092120	2094450	+	AGI88153.1			Multimodular transpeptidase-transglycosylase			XNR_1770	2331	776	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2094521	2094841	-							XNR_1771	321		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2094521	2094841	-	AGI88154.1			Quaternary ammonium compound-resistance protein sugE			XNR_1771	321	106	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2094998	2095339	-							XNR_1772	342		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2094998	2095339	-	AGI88155.1			GroES-family molecular chaperone			XNR_1772	342	113	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2095417	2095803	-							XNR_1773	387		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2095417	2095803	-	AGI88156.1			Membrane protein			XNR_1773	387	128	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2095918	2096385	+							XNR_1774	468		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2095918	2096385	+	AGI88157.1			Thiol peroxidase, Bcp-type			XNR_1774	468	155	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2096558	2098057	+							XNR_1775	1500		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2096558	2098057	+	AGI88158.1			L-Proline/Glycine betaine transporter ProP			XNR_1775	1500	499	
gene	tRNA	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2098101	2098183	+							XNR_1776	83		
tRNA		GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2098101	2098183	+				tRNA-Leu			XNR_1776	83		
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2098427	2099047	-							XNR_1777	621		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2098427	2099047	-	AGI88159.1			Non-canonical purine NTP pyrophosphatase, rdgB/HAM1 family			XNR_1777	621	206	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2099401	2099784	-							XNR_1778	384		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2099401	2099784	-	AGI88160.1			Secreted protein			XNR_1778	384	127	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2099917	2100642	-							XNR_1779	726		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2099917	2100642	-	AGI88161.1			Ribonuclease PH			XNR_1779	726	241	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2100753	2100986	-							XNR_1780	234		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2100753	2100986	-	AGI88162.1			Phosphotransferase system IIB component			XNR_1780	234	77	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2101153	2102439	+							XNR_1781	1287		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2101153	2102439	+	AGI88163.1			PTS transmembrane component			XNR_1781	1287	428	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2102445	2102828	-							XNR_1782	384		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2102445	2102828	-	AGI88164.1			Hypothetical protein			XNR_1782	384	127	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2103042	2103791	-							XNR_1783	750		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2103042	2103791	-	AGI88165.1			Metal-dependent hydrolases of the beta-lactamasesuperfamily III			XNR_1783	750	249	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2104072	2105022	-							XNR_1784	951		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2104072	2105022	-	AGI88166.1			Cysteine synthase B			XNR_1784	951	316	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2105022	2105306	-							XNR_1785	285		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2105022	2105306	-	AGI88167.1			Molybdopterin converting factor small subunit			XNR_1785	285	94	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2105413	2105568	-							XNR_1786	156		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2105413	2105568	-	AGI88168.1			Hypothetical protein			XNR_1786	156	51	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2105698	2106132	-							XNR_1787	435		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2105698	2106132	-	AGI88169.1			Mov34/MPN/PAD-1 family protein			XNR_1787	435	144	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2106233	2107678	-							XNR_1788	1446		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2106233	2107678	-	AGI88170.1			D-serine/D-alanine/glycine transporter			XNR_1788	1446	481	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2108050	2109159	-							XNR_1789	1110		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2108050	2109159	-	AGI88171.1			High-affinity leucine-specific transport system,periplasmic binding protein LivK			XNR_1789	1110	369	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2109294	2109896	-							XNR_1790	603		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2109294	2109896	-	AGI88172.1			DUF2017 domain containing protein			XNR_1790	603	200	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2109896	2110210	-							XNR_1791	315		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2109896	2110210	-	AGI88173.1			ATP-dependent Clp protease adapter protein ClpS			XNR_1791	315	104	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2110328	2111776	+							XNR_1792	1449		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2110328	2111776	+	AGI88174.1			Nicotinate phosphoribosyltransferase			XNR_1792	1449	482	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2111885	2112475	+							XNR_1793	591		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2111885	2112475	+	AGI88175.1			Nicotinamidase			XNR_1793	591	196	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2113680	2116085	-							XNR_1794	2406		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2113680	2116085	-	AGI88176.1			Secreted protease			XNR_1794	2406	801	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2116532	2116792	+							XNR_1795	261		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2116532	2116792	+	AGI88177.1			Hypothetical protein			XNR_1795	261	86	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2116892	2117569	-							XNR_1796	678		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2116892	2117569	-	AGI88178.1			Membrane protein			XNR_1796	678	225	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2117649	2118983	-							XNR_1797	1335		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2117649	2118983	-	AGI88179.1			Integral membrane protein			XNR_1797	1335	444	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2119295	2119771	+							XNR_1798	477		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2119295	2119771	+	AGI88180.1			sporulation and cell division protein SsgA			XNR_1798	477	158	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2119856	2121280	-							XNR_1799	1425		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2119856	2121280	-	AGI88181.1			Oxidoreductase subunit			XNR_1799	1425	474	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2121480	2122880	+							XNR_1800	1401		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2121480	2122880	+	AGI88182.1			Secreted protein			XNR_1800	1401	466	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2122971	2124134	-							XNR_1801	1164		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2122971	2124134	-	AGI88183.1			4-hydroxyphenylpyruvate dioxygenase			XNR_1801	1164	387	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2124267	2124737	+							XNR_1802	471		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2124267	2124737	+	AGI88184.1			AsnC-family transcriptional regulatory protein			XNR_1802	471	156	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2124767	2125423	+							XNR_1803	657		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2124767	2125423	+	AGI88185.1			Permease membrane component			XNR_1803	657	218	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2125416	2126726	+							XNR_1804	1311		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2125416	2126726	+	AGI88186.1			2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT			XNR_1804	1311	436	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2126723	2127586	+							XNR_1805	864		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2126723	2127586	+	AGI88187.1			Permease membrane component			XNR_1805	864	287	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2127583	2128566	+							XNR_1806	984		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2127583	2128566	+	AGI88188.1			ABC transporter substrate-binding protein			XNR_1806	984	327	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2128674	2129330	+							XNR_1807	657		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2128674	2129330	+	AGI88189.1			ArsR-family transcriptional regulator			XNR_1807	657	218	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2129327	2129515	+							XNR_1808	189		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2129327	2129515	+	AGI88190.1			Hypothetical protein			XNR_1808	189	62	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2129512	2130825	+							XNR_1809	1314		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2129512	2130825	+	AGI88191.1			Major facilitator superfamily transporter MFS 1			XNR_1809	1314	437	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2130822	2131721	+							XNR_1810	900		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2130822	2131721	+	AGI88192.1			Phosphotransferase			XNR_1810	900	299	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2131753	2132550	-							XNR_1811	798		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2131753	2132550	-	AGI88193.1			SdrC			XNR_1811	798	265	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2132845	2133153	-							XNR_1812	309		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2132845	2133153	-	AGI88194.1			Metallo-beta-lactamase			XNR_1812	309	102	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2133358	2134014	-							XNR_1813	657		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2133358	2134014	-	AGI88195.1			Hypothetical protein			XNR_1813	657	218	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2134011	2134832	-							XNR_1814	822		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2134011	2134832	-	AGI88196.1			ATP/GTP binding protein NosF			XNR_1814	822	273	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2134851	2135492	-							XNR_1815	642		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2134851	2135492	-	AGI88197.1			Transcriptional regulator, IclR family			XNR_1815	642	213	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2135547	2135906	+							XNR_1816	360		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2135547	2135906	+	AGI88198.1			IS1647-like transposase			XNR_1816	360	119	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2135858	2136355	+							XNR_1817	498		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2135858	2136355	+	AGI88199.1			IS transposase			XNR_1817	498	165	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2136570	2136884	-							XNR_1818	315		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2136570	2136884	-	AGI88200.1			Hypothetical protein			XNR_1818	315	104	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2137263	2137784	-							XNR_1819	522		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2137263	2137784	-	AGI88201.1			hypothetical protein			XNR_1819	522	173	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2138111	2138572	+							XNR_1820	462		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2138111	2138572	+	AGI88202.1			Acetyltransferase			XNR_1820	462	153	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2138582	2139457	-							XNR_1821	876		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2138582	2139457	-	AGI88203.1			Transposase IS4 family protein			XNR_1821	876	291	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2139503	2140021	-							XNR_1822	519		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2139503	2140021	-	AGI88204.1			Hypothetical protein			XNR_1822	519	172	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2140147	2140356	-							XNR_1823	210		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2140147	2140356	-	AGI88205.1			Hypothetical protein			XNR_1823	210	69	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2140353	2141285	-							XNR_1824	933		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2140353	2141285	-	AGI88206.1			Transcriptional regulator			XNR_1824	933	310	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2141288	2141458	+							XNR_1825	171		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2141288	2141458	+	AGI88207.1			Hypothetical protein			XNR_1825	171	56	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2141455	2141661	+							XNR_1826	207		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2141455	2141661	+	AGI88208.1			Hypothetical protein			XNR_1826	207	68	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2141658	2142035	+							XNR_1827	378		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2141658	2142035	+	AGI88209.1			Hypothetical protein			XNR_1827	378	125	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2142110	2142238	+							XNR_1828	129		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2142110	2142238	+	AGI88210.1			Hypothetical protein			XNR_1828	129	42	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2142235	2143416	+							XNR_1829	1182		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2142235	2143416	+	AGI88211.1			Protein-L-isoaspartate O-methyltransferase			XNR_1829	1182	393	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2143439	2143981	-							XNR_1830	543		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2143439	2143981	-	AGI88212.1			Hypothetical protein			XNR_1830	543	180	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2144162	2145475	+							XNR_1831	1314		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2144162	2145475	+	AGI88213.1			Permease, major facilitator superfamily			XNR_1831	1314	437	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2145594	2147375	-							XNR_1832	1782		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2145594	2147375	-	AGI88214.1			DNA or RNA helicase, superfamily II			XNR_1832	1782	593	
gene	tRNA	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2147659	2147730	+							XNR_1833	72		
tRNA		GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2147659	2147730	+				tRNA-Cys			XNR_1833	72		
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2147841	2150138	-							XNR_1834	2298		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2147841	2150138	-	AGI88215.1			Xanthine dehydrogenase, molybdenum binding subunit			XNR_1834	2298	765	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2150135	2152039	-							XNR_1835	1905		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2150135	2152039	-	AGI88216.1			Xanthine dehydrogenase iron-sulfur subunit			XNR_1835	1905	634	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2152036	2152899	-							XNR_1836	864		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2152036	2152899	-	AGI88217.1			Xanthine dehydrogenase, FAD binding subunit			XNR_1836	864	287	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2153252	2154889	-							XNR_1837	1638		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2153252	2154889	-	AGI88218.1			Beta-hexosaminidase			XNR_1837	1638	545	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2154891	2155724	-							XNR_1838	834		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2154891	2155724	-	AGI88219.1			Sugar transporter membrane protein			XNR_1838	834	277	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2155721	2156677	-							XNR_1839	957		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2155721	2156677	-	AGI88220.1			sugar transporter membrane protein			XNR_1839	957	318	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2156709	2158013	-							XNR_1840	1305		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2156709	2158013	-	AGI88221.1			Sugar transporter sugar-binding protein			XNR_1840	1305	434	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2159152	2159445	-							XNR_1841	294		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2159152	2159445	-	AGI88222.1			DUF3039 domain containing protein			XNR_1841	294	97	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2159508	2160080	-							XNR_1842	573		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2159508	2160080	-	AGI88223.1			transcriptional regulator			XNR_1842	573	190	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2160431	2161771	+							XNR_1843	1341		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2160431	2161771	+	AGI88224.1			UDP-N-acetylglucosamine 1-carboxyvinyltransferase			XNR_1843	1341	446	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2162073	2162354	-							XNR_1844	282		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2162073	2162354	-	AGI88225.1			DNA-binding protein HU 1			XNR_1844	282	93	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2162761	2164227	-							XNR_1845	1467		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2162761	2164227	-	AGI88226.1			NADP-dependent malic enzyme			XNR_1845	1467	488	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2164691	2167078	-							XNR_1846	2388		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2164691	2167078	-	AGI88227.1			Helicase			XNR_1846	2388	795	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2167203	2167790	-							XNR_1847	588		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2167203	2167790	-	AGI88228.1			DUF1470 domain-containing protein			XNR_1847	588	195	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2167972	2168580	+							XNR_1848	609		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2167972	2168580	+	AGI88229.1			acetyltransferase			XNR_1848	609	202	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2168581	2169696	-							XNR_1849	1116		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2168581	2169696	-	AGI88230.1			transcriptional regulator			XNR_1849	1116	371	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2169872	2170933	-							XNR_1850	1062		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2169872	2170933	-	AGI88231.1			Secreted protein			XNR_1850	1062	353	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2170930	2171574	-							XNR_1851	645		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2170930	2171574	-	AGI88232.1			Lipoprotein			XNR_1851	645	214	
gene	protein_coding	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2171713	2173044	-							XNR_1852	1332		
CDS	with_protein	GCA_000359525.1	Primary Assembly	chromosome		CP004370.1	2171713	2173044	-	AGI88233.1			Integral membrane protein			XNR_1852	1332	443	
